date,URL,sha1,etherscan
06/25/2021,https://explorer.celsius.network/api/public/30b1fada-a99b-49dc-be9a-a20b97509935.csv,0x9e87fc518885c76881870fd016acc6c220eeebe5,https://etherscan.io/tx/0xef41ef12b1d1378af48e8f3461efeb98be550cdfd13eca8a49c348fe94d86b79
07/02/2021,https://explorer.celsius.network/api/public/978e0610-dac7-4e93-98c3-ab3aa37c1ef3.csv,0x1ed3bbc2f6086878260dbf3a026286b37c06ae5e,https://etherscan.io/tx/0xce11cfdee19178d068a1d8bcd14119fd4556768f90b76103b9961983fb05a31a
07/09/2021,https://explorer.celsius.network/api/public/62e3aebe-aa93-4f30-bb26-8d5bf5df514c.csv,0xf3d8e6aaa71ca75941a26d7573f41dde4a4b9599,https://etherscan.io/tx/0xc01446120588b499f9d316806541c83f1266422c23463cffb44707d5a53c7b6e
07/16/2021,https://explorer.celsius.network/api/public/937bd985-80a3-4cdf-8e6c-4497199b4462.csv,0x5df9511ea44cf4cc6afafd37eb6fca84fbf292d6,https://etherscan.io/tx/0x19d13701bde3bbb8412d157a474a82e099873019623da40d756e8e1ea2b7b55c
07/23/2021,https://explorer.celsius.network/api/public/1505901f-31a4-470a-b4b8-e2680dc1f6c9.csv,0xd7d4a7a1209620660bde99ea02dd5e6336c734d1,https://etherscan.io/tx/0xfbd0c8ffa7cfb6fc538d0244583b444c4ec6387ee7040cb512255604963dfaa3
07/30/2021,https://explorer.celsius.network/api/public/9205d124-def8-4616-b19f-8e448bdda081.csv,0x9f465302082a75075fb635a6e76c5e686607249a,https://etherscan.io/tx/0x10a1a07a9c6b2f558676184c2b5600a6f6bcecc58e058eaa65a5947f085be555
08/06/2021,https://explorer.celsius.network/api/public/0fbfc22c-c130-4de9-871c-12a671d6df55.csv,0x0941185480ce7abb8a67ca3f0e6aa7b4fffa9b99,https://etherscan.io/tx/0x236692804f4528a20238ffbe3171eb55dd55959f104a999cab56e37cff1df340
08/13/2021,https://explorer.celsius.network/api/public/8c6cb338-fe2d-45f2-90f4-89c54f55cf12.csv,0xd10a5ab285f9b0fbeea80dfbe17dfafef92b5c52,https://etherscan.io/tx/0x48d035695de7dbfb6f29a7a691f02010bd8dadaf86d1206fdbaaba63038dca4f
08/20/2021,https://explorer.celsius.network/api/public/677c0502-362a-4158-8913-00f92b83f821.csv,0x2c293bac2afccf2fad5bc1b7cbdad4f9122a6732,https://etherscan.io/tx/0x53e15e41432492d34479e3735da54ddccc97a9494fe10ad18e9bf1671c417973
08/27/2021,https://explorer.celsius.network/api/public/a0e21c77-ac0c-4a3b-aa90-7c77d0f35bf4.csv,0xef8a5d97d015dc7a428ca1918f028d059a9bd735,https://etherscan.io/tx/0x0fabf1cbd4480ae649b403cd9570870207c321546c7c657f0b3377bbee6c5519
